Survived,Pclass,Sex,SibSp,Parch,Fare,Age,Embarked_C,Embarked_Q,Embarked_S
0,1,1,1,0,83.475,45.0,0,0,1
0,3,1,3,2,27.9,4.0,0,0,1
0,1,1,0,0,27.7208,30.0,1,0,0
1,3,1,1,1,15.2458,3.5,1,0,0
1,2,0,0,0,10.5,29.0,0,0,1
0,3,1,0,0,8.1583,19.0,0,0,1
1,3,0,4,2,7.925,17.0,0,0,1
0,3,1,2,0,8.6625,26.0,0,0,1
0,2,1,0,0,10.5,32.0,0,0,1
0,3,0,5,2,46.9,16.0,0,0,1
0,2,1,0,0,73.5,21.0,0,0,1
0,3,1,1,0,14.4542,26.0,1,0,0
1,3,1,0,0,56.4958,32.0,0,0,1
0,3,1,0,0,7.65,25.0,0,0,1
0,3,1,0,0,7.8958,30.0,0,0,1
0,3,1,0,0,8.05,30.0,0,0,1
1,2,1,0,2,29.0,0.83,0,0,1
1,3,0,0,0,12.475,30.0,0,0,1
0,3,1,0,0,9.0,22.0,0,0,1
1,3,1,0,0,9.5,29.0,0,0,1
1,3,0,0,0,7.7875,21.0,0,1,0
0,1,1,0,0,47.1,28.0,0,0,1
1,2,0,0,0,10.5,17.0,0,0,1
1,3,0,3,0,15.85,33.0,0,0,1
0,3,1,1,3,34.375,16.0,0,0,1
0,3,1,0,0,8.05,30.0,0,0,1
1,1,0,3,2,263.0,23.0,0,0,1
0,3,1,0,0,8.05,24.0,0,0,1
0,3,1,0,0,8.05,29.0,0,0,1
0,3,1,0,0,7.8542,20.0,0,0,1
0,1,1,1,0,61.175,46.0,0,0,1
0,3,1,1,2,20.575,26.0,0,0,1
0,3,1,0,0,7.25,59.0,0,0,1
0,3,1,0,0,8.05,30.0,0,0,1
0,1,1,0,0,34.6542,71.0,1,0,0
1,1,1,0,1,63.3583,23.0,1,0,0
1,2,0,0,1,23.0,34.0,0,0,1
0,2,1,1,0,26.0,34.0,0,0,1
0,3,0,0,0,7.8958,28.0,0,0,1
0,3,1,0,0,7.8958,30.0,0,0,1
0,1,1,0,1,77.2875,21.0,0,0,1
0,3,1,0,0,8.6542,33.0,0,0,1
0,3,1,2,0,7.925,37.0,0,0,1
0,3,1,0,0,7.8958,28.0,0,0,1
1,3,0,0,0,7.65,21.0,0,0,1
1,3,1,0,0,7.775,30.0,0,0,1
0,3,1,0,0,7.8958,38.0,0,0,1
1,3,0,1,0,24.15,21.0,0,1,0
0,1,1,0,0,52.0,47.0,0,0,1
0,3,0,1,0,14.4542,14.5,1,0,0
0,3,1,0,0,8.05,22.0,0,0,1
0,3,0,1,0,9.825,20.0,0,0,1
0,3,0,0,0,14.4583,17.0,1,0,0
0,3,1,0,0,7.925,21.0,0,0,1
0,3,1,0,0,7.75,70.5,0,1,0
0,2,1,1,0,21.0,29.0,0,0,1
0,1,1,0,1,247.5208,24.0,1,0,0
0,3,0,4,2,31.275,2.0,0,0,1
0,2,1,2,0,73.5,21.0,0,0,1
0,3,1,0,0,8.05,30.0,0,0,1
0,2,1,1,0,30.0708,32.5,1,0,0
1,2,0,0,0,13.0,32.5,0,0,1
0,1,1,0,1,77.2875,54.0,0,0,1
1,3,1,1,0,11.2417,12.0,1,0,0
0,3,1,0,0,7.75,30.0,0,1,0
1,3,1,0,0,7.1417,24.0,0,0,1
1,3,0,1,1,22.3583,21.0,1,0,0
0,3,1,0,0,6.975,45.0,0,0,1
0,3,1,0,0,7.8958,33.0,1,0,0
0,3,1,0,0,7.05,20.0,0,0,1
0,3,0,1,0,14.5,47.0,0,0,1
1,2,0,1,0,26.0,29.0,0,0,1
0,2,1,0,0,13.0,25.0,0,0,1
0,2,1,0,0,15.0458,23.0,1,0,0
1,1,0,0,2,26.2833,19.0,0,0,1
0,1,1,1,0,53.1,37.0,0,0,1
0,3,1,0,0,9.2167,16.0,0,0,1
0,1,1,0,0,79.2,24.0,1,0,0
0,3,0,0,2,15.2458,35.0,1,0,0
1,3,0,0,0,7.75,22.0,0,0,1
1,3,0,1,0,15.85,24.0,0,0,1
0,3,1,0,0,6.75,19.0,0,1,0
0,2,1,0,0,11.5,18.0,0,0,1
0,2,1,1,1,36.75,19.0,0,0,1
1,3,1,0,0,7.7958,27.0,0,0,1
0,3,0,2,2,34.375,9.0,0,0,1
0,2,1,0,2,26.0,36.5,0,0,1
0,2,1,0,0,13.0,42.0,0,0,1
0,2,1,0,0,12.525,51.0,0,0,1
1,1,0,1,0,66.6,22.0,0,0,1
0,3,1,0,0,8.05,55.5,0,0,1
0,3,1,0,2,14.5,40.5,0,0,1
0,3,1,0,0,7.3125,30.0,0,0,1
0,1,1,0,1,61.3792,51.0,1,0,0
1,3,0,0,0,7.7333,16.0,0,1,0
0,3,1,0,0,8.05,30.0,0,0,1
0,3,1,0,0,8.6625,30.0,0,0,1
0,3,1,8,2,69.55,3.5,0,0,1
0,3,1,0,1,16.1,44.0,0,0,1
1,2,0,0,0,15.75,40.0,0,0,1
0,3,1,0,0,7.775,26.0,0,0,1
0,3,1,0,0,8.6625,17.0,0,0,1
0,3,1,4,1,39.6875,1.0,0,0,1
1,3,1,0,2,20.525,9.0,0,0,1
1,1,0,0,1,55.0,35.0,0,0,1
0,3,0,1,4,27.9,45.0,0,0,1
0,1,1,0,0,25.925,30.0,0,0,1
0,3,1,0,0,56.4958,28.0,0,0,1
0,1,1,0,0,33.5,61.0,0,0,1
0,3,1,4,1,29.125,4.0,0,1,0
1,3,0,1,1,11.1333,1.0,0,0,1
0,3,1,0,0,7.925,21.0,0,0,1
0,1,1,0,0,30.6958,56.0,1,0,0
0,3,1,1,1,7.8542,18.0,0,0,1
0,3,1,3,1,25.4667,3.5,0,0,1
0,1,0,0,0,28.7125,50.0,1,0,0
0,2,1,0,0,13.0,30.0,0,0,1
0,3,1,0,0,0.0,36.0,0,0,1
0,3,0,8,2,69.55,21.0,0,0,1
0,2,1,0,0,15.05,30.0,1,0,0
0,3,1,4,2,31.3875,9.0,0,0,1
1,2,1,2,1,39.0,1.0,0,0,1
1,3,0,0,2,22.025,4.0,0,0,1
0,1,1,0,0,50.0,30.0,0,0,1
1,3,0,1,0,15.5,35.0,0,1,0
1,1,1,0,0,26.55,45.0,0,0,1
0,3,1,1,1,15.5,40.0,0,1,0
0,3,1,0,0,7.8958,36.0,0,0,1
1,2,0,0,0,13.0,32.0,0,0,1
0,2,1,0,0,13.0,19.0,0,0,1
1,3,0,1,0,7.8542,19.0,0,0,1
1,2,1,1,1,26.0,3.0,0,0,1
1,1,0,0,0,27.7208,44.0,1,0,0
1,1,0,0,0,146.5208,58.0,1,0,0
0,3,1,0,0,7.75,30.0,0,1,0
0,3,1,0,1,8.4042,42.0,0,0,1
1,3,0,0,0,7.75,21.0,0,1,0
0,2,0,0,0,13.0,24.0,0,0,1
0,3,1,0,0,9.5,28.0,0,0,1
0,3,1,8,2,69.55,30.0,0,0,1
0,3,1,0,0,6.4958,34.0,0,0,1
0,3,1,0,0,7.225,45.5,1,0,0
1,3,1,0,0,8.05,18.0,0,0,1
0,3,0,0,1,10.4625,2.0,0,0,1
0,3,1,1,0,15.85,32.0,0,0,1
1,3,1,0,0,18.7875,26.0,1,0,0
1,3,0,0,0,7.75,16.0,0,1,0
1,1,1,0,0,31.0,40.0,1,0,0
0,3,1,0,0,7.05,24.0,0,0,1
1,2,0,0,0,21.0,35.0,0,0,1
0,3,1,0,0,7.25,22.0,0,0,1
0,2,1,0,0,13.0,30.0,0,0,1
0,3,1,1,0,7.75,30.0,0,1,0
1,1,0,1,0,113.275,31.0,1,0,0
1,3,0,0,0,7.925,27.0,0,0,1
0,2,1,1,0,27.0,42.0,0,0,1
1,1,0,0,0,76.2917,32.0,1,0,0
0,2,1,0,0,10.5,30.0,0,0,1
1,3,1,0,0,8.05,16.0,0,0,1
0,2,1,0,0,13.0,27.0,0,0,1
0,3,1,0,0,8.05,51.0,0,0,1
0,3,1,0,0,7.8958,30.0,0,0,1
1,1,1,1,0,90.0,38.0,0,0,1
0,3,1,0,0,9.35,22.0,0,0,1
1,2,1,0,0,10.5,19.0,0,0,1
0,3,1,0,0,7.25,20.5,0,0,1
0,2,1,0,0,13.0,18.0,0,0,1
0,3,0,3,1,25.4667,21.0,0,0,1
1,1,0,1,0,83.475,35.0,0,0,1
0,3,1,0,0,7.775,29.0,0,0,1
0,2,1,0,0,13.5,59.0,0,0,1
1,3,0,4,2,31.3875,5.0,0,0,1
0,2,1,0,0,10.5,24.0,0,0,1
0,3,0,0,0,7.55,21.0,0,0,1
0,2,1,1,0,26.0,44.0,0,0,1
1,2,0,0,2,26.25,8.0,0,0,1
0,2,1,0,0,10.5,19.0,0,0,1
0,2,1,0,0,12.275,33.0,0,0,1
0,3,0,1,0,14.4542,21.0,1,0,0
1,3,0,1,0,15.5,21.0,0,1,0
0,2,1,0,0,10.5,29.0,0,0,1
0,3,1,0,0,7.125,22.0,0,0,1
0,3,1,0,0,7.225,30.0,1,0,0
0,1,1,2,0,90.0,44.0,0,1,0
0,3,0,0,0,7.775,25.0,0,0,1
1,2,0,0,2,14.5,24.0,0,0,1
1,1,1,1,1,52.5542,37.0,0,0,1
0,2,1,1,0,26.0,54.0,0,0,1
0,3,1,0,0,7.25,30.0,0,0,1
0,3,0,1,1,10.4625,29.0,0,0,1
0,1,1,0,0,26.55,62.0,0,0,1
0,3,1,1,0,16.1,30.0,0,0,1
0,3,0,0,2,20.2125,41.0,0,0,1
1,3,0,0,2,15.2458,29.0,1,0,0
1,1,0,0,0,79.2,35.0,1,0,0
1,1,0,0,0,86.5,30.0,0,0,1
1,1,0,0,0,512.3292,35.0,1,0,0
1,2,0,0,1,26.0,50.0,0,0,1
0,3,1,0,0,7.75,30.0,0,1,0
1,3,1,4,2,31.3875,3.0,0,0,1
0,1,1,1,1,79.65,52.0,0,0,1
0,1,1,0,0,0.0,40.0,0,0,1
0,3,0,0,0,7.75,21.0,0,1,0
0,2,1,0,0,10.5,36.0,0,0,1
0,3,1,4,1,39.6875,16.0,0,0,1
1,3,1,1,0,7.775,25.0,0,0,1
1,1,0,0,1,153.4625,58.0,0,0,1
1,1,0,0,0,135.6333,35.0,0,0,1
0,1,1,0,0,31.0,30.0,0,0,1
1,3,1,0,0,0.0,25.0,0,0,1
1,2,0,0,1,19.5,41.0,0,0,1
0,1,1,0,1,29.7,37.0,1,0,0
1,3,0,0,0,7.75,21.0,0,1,0
1,1,0,1,0,77.9583,63.0,0,0,1
0,3,0,0,0,7.75,45.0,0,0,1
0,2,1,0,0,0.0,30.0,0,0,1
0,3,1,4,1,29.125,7.0,0,1,0
1,3,0,1,1,20.25,35.0,0,0,1
0,3,1,0,0,7.75,65.0,0,1,0
0,3,1,0,0,7.8542,28.0,0,0,1
0,3,1,0,0,9.5,16.0,0,0,1
1,3,1,0,0,8.05,19.0,0,0,1
0,1,1,0,0,26.0,30.0,0,0,1
0,3,1,0,0,8.6625,33.0,1,0,0
1,3,1,0,0,9.5,30.0,0,0,1
0,3,1,0,0,7.8958,22.0,0,0,1
1,2,1,0,0,13.0,42.0,0,0,1
1,3,0,0,0,7.75,22.0,0,1,0
1,1,0,0,0,78.85,26.0,0,0,1
1,1,0,1,0,91.0792,19.0,1,0,0
0,2,1,0,0,12.875,36.0,1,0,0
0,3,0,0,0,8.85,24.0,0,0,1
0,3,1,0,0,7.8958,24.0,0,0,1
0,1,1,0,0,27.7208,30.0,1,0,0
0,3,1,0,0,7.2292,23.5,1,0,0
0,1,0,1,2,151.55,2.0,0,0,1
1,1,1,0,0,30.5,30.0,0,0,1
1,1,0,0,1,247.5208,50.0,1,0,0
1,3,0,0,0,7.75,21.0,0,1,0
1,3,1,2,0,23.25,30.0,0,1,0
0,3,1,0,0,0.0,19.0,0,0,1
1,2,0,0,0,12.35,21.0,0,1,0
0,3,1,0,0,8.05,30.0,0,0,1
1,1,1,1,2,151.55,0.92,0,0,1
1,1,0,0,0,110.8833,21.0,1,0,0
1,1,0,1,0,108.9,17.0,1,0,0
0,2,1,1,0,24.0,30.0,1,0,0
1,1,0,0,0,56.9292,30.0,1,0,0
1,1,0,0,0,83.1583,24.0,1,0,0
1,1,0,2,2,262.375,18.0,1,0,0
0,2,0,1,1,26.0,26.0,0,0,1
0,3,1,0,0,7.8958,28.0,0,0,1
0,2,1,1,1,26.25,43.0,0,0,1
1,3,0,0,0,7.8542,26.0,0,0,1
1,2,0,1,0,26.0,24.0,0,0,1
0,2,1,0,0,14.0,54.0,0,0,1
1,1,0,0,2,164.8667,31.0,0,0,1
1,1,0,1,1,134.5,40.0,1,0,0
0,3,1,0,0,7.25,22.0,0,0,1
0,3,1,0,0,7.8958,27.0,0,0,1
1,2,0,0,0,12.35,30.0,0,1,0
1,2,0,1,1,29.0,22.0,0,0,1
0,3,1,8,2,69.55,30.0,0,0,1
1,1,0,0,0,135.6333,36.0,1,0,0
0,3,1,0,0,6.2375,61.0,0,0,1
1,2,0,0,0,13.0,36.0,0,0,1
1,3,0,1,1,20.525,31.0,0,0,1
1,1,0,0,1,57.9792,16.0,1,0,0
1,3,0,2,0,23.25,21.0,0,1,0
0,1,1,0,0,28.5,45.5,0,0,1
0,1,1,0,1,153.4625,38.0,0,0,1
0,3,1,2,0,18.0,16.0,0,0,1
1,1,0,1,0,133.65,35.0,0,0,1
0,3,1,0,0,7.8958,30.0,0,0,1
0,1,1,1,0,66.6,29.0,0,0,1
1,1,0,0,0,134.5,41.0,1,0,0
1,3,1,0,0,8.05,45.0,0,0,1
0,1,1,0,0,35.5,45.0,0,0,1
1,2,1,1,1,26.0,2.0,0,0,1
1,1,0,3,2,263.0,24.0,0,0,1
0,2,1,0,0,13.0,28.0,0,0,1
0,2,1,0,0,13.0,25.0,0,0,1
0,2,1,0,0,13.0,36.0,0,0,1
1,2,0,0,0,13.0,24.0,0,0,1
1,2,0,0,0,13.0,40.0,0,0,1
1,3,0,1,0,16.1,35.0,0,0,1
1,3,1,1,1,15.9,3.0,0,0,1
0,3,1,0,0,8.6625,42.0,0,0,1
0,3,1,0,0,9.225,23.0,0,0,1
0,1,1,0,0,35.0,30.0,0,0,1
0,3,1,1,1,7.2292,15.0,1,0,0
0,3,1,1,0,17.8,25.0,0,0,1
0,3,1,0,0,7.225,30.0,1,0,0
0,3,1,0,0,9.5,28.0,0,0,1
1,1,0,0,1,55.0,22.0,0,0,1
0,2,0,0,0,13.0,38.0,0,0,1
1,3,0,0,0,7.8792,21.0,0,1,0
1,3,0,0,0,7.8792,21.0,0,1,0
0,3,1,1,4,27.9,40.0,0,0,1
0,2,1,1,0,27.7208,29.0,1,0,0
0,3,0,0,1,14.4542,45.0,1,0,0
0,3,1,0,0,7.05,35.0,0,0,1
0,3,1,1,0,15.5,30.0,0,1,0
0,3,1,0,0,7.25,30.0,0,0,1
1,1,0,1,0,75.25,60.0,1,0,0
1,3,0,0,0,7.2292,35.0,1,0,0
1,3,0,0,0,7.75,21.0,0,1,0
1,1,0,0,0,69.3,24.0,1,0,0
1,1,1,1,0,55.4417,25.0,1,0,0
0,3,1,1,0,6.4958,18.0,0,0,1
0,3,1,0,0,8.05,19.0,0,0,1
0,1,1,0,0,135.6333,22.0,1,0,0
0,3,0,3,1,21.075,3.0,0,0,1
1,1,0,1,0,82.1708,35.0,1,0,0
1,3,0,0,0,7.25,22.0,0,0,1
0,1,1,0,2,211.5,27.0,1,0,0
0,3,1,0,0,4.0125,20.0,1,0,0
0,3,1,0,0,7.775,19.0,0,0,1
1,1,0,0,0,227.525,42.0,1,0,0
1,3,0,0,2,15.7417,1.0,1,0,0
0,3,1,0,0,7.925,32.0,0,0,1
1,1,0,1,0,52.0,35.0,0,0,1
0,3,1,0,0,7.8958,30.0,0,0,1
0,2,1,0,0,73.5,18.0,0,0,1
0,3,1,5,2,46.9,1.0,0,0,1
1,2,0,0,0,13.0,36.0,0,0,1
0,3,1,0,0,7.7292,30.0,0,1,0
1,2,0,0,0,12.0,17.0,1,0,0
1,1,1,1,2,120.0,36.0,0,0,1
1,3,1,0,0,7.7958,21.0,0,0,1
0,3,1,2,0,7.925,28.0,0,0,1
1,1,0,1,0,113.275,23.0,1,0,0
1,3,0,0,2,16.7,24.0,0,0,1
0,3,1,0,0,7.7958,22.0,0,0,1
0,3,0,0,0,7.8542,31.0,0,0,1
0,2,1,0,0,26.0,46.0,0,0,1
0,2,1,0,0,10.5,23.0,0,0,1
1,2,0,0,0,12.65,28.0,0,0,1
1,3,1,0,0,7.925,39.0,0,0,1
0,3,1,0,0,8.05,26.0,0,0,1
0,3,0,1,0,9.825,21.0,0,0,1
0,3,1,1,0,15.85,28.0,0,0,1
0,3,0,0,0,8.6625,20.0,0,0,1
0,2,1,1,0,21.0,34.0,0,0,1
0,3,1,0,0,7.75,51.0,0,0,1
1,2,1,1,1,18.75,3.0,0,0,1
0,3,1,0,0,7.775,21.0,0,0,1
0,3,0,3,1,25.4667,21.0,0,0,1
0,3,1,0,0,7.8958,30.0,0,0,1
0,3,1,0,0,6.8583,30.0,0,1,0
1,1,0,1,0,90.0,33.0,0,1,0
0,2,1,0,0,0.0,30.0,0,0,1
1,3,1,0,0,7.925,44.0,0,0,1
0,3,0,0,0,8.05,35.0,0,0,1
1,2,0,1,1,32.5,34.0,0,0,1
1,2,0,0,2,13.0,18.0,0,0,1
0,2,1,0,0,13.0,30.0,0,0,1
0,3,0,0,2,24.15,10.0,0,0,1
0,3,1,0,0,7.8958,30.0,1,0,0
0,3,1,0,0,7.7333,21.0,0,1,0
0,3,1,0,0,7.875,29.0,0,0,1
0,3,0,1,1,14.4,28.0,0,0,1
0,3,1,1,1,20.2125,18.0,0,0,1
0,3,1,0,0,7.25,30.0,0,0,1
1,2,0,1,0,26.0,28.0,0,0,1
1,2,0,0,0,26.0,19.0,0,0,1
0,3,1,0,0,7.75,30.0,0,1,0
1,3,1,0,0,8.05,32.0,0,0,1
1,1,1,0,0,26.55,28.0,0,0,1
1,3,0,1,0,16.1,35.0,0,0,1
1,2,0,1,0,26.0,42.0,0,0,1
0,3,1,0,0,7.125,17.0,0,0,1
0,1,1,1,0,55.9,50.0,0,0,1
1,1,0,1,2,120.0,14.0,0,0,1
0,3,0,2,2,34.375,21.0,0,0,1
1,2,0,2,3,18.75,24.0,0,0,1
0,1,1,1,4,263.0,64.0,0,0,1
0,2,1,0,0,10.5,31.0,0,0,1
1,2,0,1,1,26.25,45.0,0,0,1
0,3,1,0,0,9.5,20.0,0,0,1
0,3,1,1,0,7.775,25.0,0,0,1
1,2,0,0,0,13.0,28.0,0,0,1
1,3,1,0,0,8.1125,30.0,0,0,1
1,1,1,0,2,81.8583,4.0,0,0,1
1,2,0,0,1,19.5,13.0,0,0,1
1,1,1,0,0,26.55,34.0,0,0,1
1,3,0,2,1,19.2583,5.0,1,0,0
1,1,1,0,0,30.5,52.0,0,0,1
0,2,1,1,2,27.75,36.0,0,0,1
0,3,1,1,0,19.9667,30.0,0,0,1
0,1,1,0,0,27.75,30.0,1,0,0
1,1,1,1,0,89.1042,49.0,1,0,0
0,3,1,0,0,8.05,30.0,0,0,1
1,3,1,0,0,7.8958,29.0,1,0,0
0,1,1,0,0,26.55,65.0,0,0,1
1,1,0,1,0,51.8625,35.0,0,0,1
1,2,0,0,0,10.5,50.0,0,0,1
0,3,1,0,0,7.75,30.0,0,1,0
1,1,1,0,0,26.55,48.0,0,0,1
0,3,1,0,0,8.05,34.0,0,0,1
0,1,1,0,0,38.5,47.0,0,0,1
0,2,1,0,0,13.0,48.0,0,0,1
0,3,1,0,0,8.05,30.0,0,0,1
0,3,1,0,0,7.05,38.0,0,0,1
0,2,1,0,0,0.0,30.0,0,0,1
0,1,1,0,0,26.55,56.0,0,0,1
0,3,1,0,0,7.725,30.0,0,1,0
1,3,0,2,1,19.2583,0.75,1,0,0
0,3,1,0,0,7.25,30.0,0,0,1
0,3,1,0,0,8.6625,38.0,0,0,1
1,2,0,1,2,27.75,33.0,0,0,1
1,2,0,0,0,13.7917,23.0,1,0,0
0,3,0,0,0,9.8375,22.0,0,0,1
0,1,1,0,0,52.0,30.0,0,0,1
0,2,1,1,0,21.0,34.0,0,0,1
0,3,1,1,0,7.0458,29.0,0,0,1
0,3,1,0,0,7.5208,22.0,0,0,1
1,3,0,0,1,12.2875,2.0,0,0,1
0,3,1,5,2,46.9,9.0,0,0,1
0,2,1,0,0,0.0,30.0,0,0,1
0,3,1,0,0,8.05,50.0,0,0,1
1,3,0,0,0,9.5875,63.0,0,0,1
1,1,1,1,0,91.0792,25.0,1,0,0
0,3,0,3,1,25.4667,21.0,0,0,1
1,1,0,1,0,90.0,35.0,0,0,1
0,1,1,0,0,29.7,58.0,1,0,0
0,3,1,0,0,8.05,30.0,0,0,1
1,3,1,1,1,15.9,9.0,0,0,1
0,3,1,1,0,19.9667,30.0,0,0,1
0,3,1,0,0,7.25,21.0,0,0,1
0,1,1,0,0,30.5,55.0,0,0,1
0,1,1,0,0,49.5042,71.0,1,0,0
0,3,1,0,0,8.05,21.0,0,0,1
0,3,1,0,0,14.4583,30.0,1,0,0
1,1,0,1,0,78.2667,54.0,1,0,0
0,3,1,0,0,15.1,30.0,0,0,1
0,1,0,1,2,151.55,25.0,0,0,1
0,3,1,0,0,7.7958,24.0,0,0,1
0,3,1,0,0,8.6625,17.0,0,0,1
0,3,0,0,0,7.75,21.0,0,1,0
0,3,0,0,0,7.6292,21.0,0,1,0
0,3,0,0,0,9.5875,37.0,0,0,1
1,1,0,0,0,86.5,16.0,0,0,1
0,1,1,1,0,108.9,18.0,1,0,0
1,2,0,0,2,26.0,33.0,0,0,1
1,1,1,0,0,26.55,30.0,0,0,1
0,3,1,0,0,22.525,28.0,0,0,1
1,3,1,0,0,56.4958,26.0,0,0,1
1,3,1,0,0,7.75,29.0,0,1,0
0,3,1,0,0,8.05,30.0,0,0,1
1,1,1,0,0,26.2875,36.0,0,0,1
1,1,0,1,0,59.4,54.0,1,0,0
0,3,1,0,0,7.4958,24.0,0,0,1
0,1,1,0,0,34.0208,47.0,0,0,1
1,2,0,0,0,10.5,34.0,0,0,1
0,3,1,0,0,24.15,30.0,0,1,0
1,2,0,1,0,26.0,36.0,0,0,1
0,3,1,0,0,7.8958,32.0,0,0,1
1,1,0,0,0,93.5,30.0,0,0,1
0,3,1,0,0,7.8958,22.0,0,0,1
0,3,1,0,0,7.225,30.0,1,0,0
1,1,0,0,1,57.9792,44.0,1,0,0
0,3,1,0,0,7.2292,30.0,1,0,0
0,3,1,0,0,7.75,40.5,0,1,0
1,2,0,0,0,10.5,50.0,0,0,1
0,1,1,0,0,221.7792,30.0,0,0,1
0,3,1,0,0,7.925,39.0,0,0,1
0,2,1,2,1,11.5,23.0,0,0,1
1,2,0,1,1,26.0,2.0,0,0,1
0,3,1,0,0,7.2292,30.0,1,0,0
0,3,1,1,1,7.2292,17.0,1,0,0
1,3,0,0,2,22.3583,35.0,1,0,0
0,3,0,0,0,8.6625,30.0,0,0,1
1,2,0,0,2,26.25,7.0,0,0,1
0,1,1,0,0,26.55,45.0,0,0,1
1,1,0,0,0,106.425,30.0,1,0,0
0,3,1,0,0,14.5,30.0,0,0,1
1,1,0,0,2,49.5,22.0,1,0,0
1,1,0,0,2,71.0,36.0,0,0,1
0,3,0,4,2,31.275,9.0,0,0,1
0,3,0,4,2,31.275,11.0,0,0,1
1,2,1,1,0,26.0,32.0,0,0,1
0,1,1,1,0,106.425,50.0,1,0,0
0,1,1,0,0,26.0,64.0,0,0,1
1,2,0,1,0,26.0,19.0,0,0,1
1,2,1,0,0,13.8625,30.0,1,0,0
0,3,1,1,1,20.525,33.0,0,0,1
1,2,1,1,1,36.75,8.0,0,0,1
1,1,1,0,2,110.8833,17.0,1,0,0
0,2,1,0,0,26.0,27.0,0,0,1
0,3,1,0,0,7.8292,30.0,0,1,0
1,3,1,0,0,7.225,22.0,1,0,0
1,3,0,0,0,7.775,22.0,0,0,1
0,1,1,0,0,26.55,62.0,0,0,1
1,1,0,1,0,39.6,48.0,1,0,0
0,1,1,0,0,227.525,30.0,1,0,0
1,1,0,1,1,79.65,39.0,0,0,1
1,3,0,1,0,17.4,36.0,0,0,1
0,3,1,0,0,7.75,30.0,0,1,0
0,3,1,0,0,7.8958,40.0,0,0,1
0,2,1,0,0,13.5,28.0,0,0,1
0,3,1,0,0,8.05,30.0,0,0,1
0,3,0,0,0,8.05,21.0,0,0,1
0,3,1,2,0,24.15,24.0,0,0,1
0,3,1,0,0,7.8958,19.0,0,0,1
0,3,0,0,4,21.075,29.0,0,0,1
0,3,1,0,0,7.2292,30.0,1,0,0
1,3,1,0,0,7.8542,32.0,0,0,1
1,2,1,0,0,10.5,62.0,0,0,1
1,1,0,2,0,51.4792,53.0,0,0,1
