customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
5795-BKOYE,Male,0,0,0,2,1,0,44.9,111.05,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
9229-RQABD,Female,0,1,1,3,0,0,29.7,91.7,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
2898-MRKPI,Male,1,1,1,68,1,1,84.65,5683.6,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
4195-SMMNX,Male,0,1,0,47,1,1,104.1,5135.15,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
2302-OUZXB,Male,0,0,1,38,1,1,81.85,3141.7,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
5868-YWPDW,Male,1,1,0,62,1,1,89.1,5618.3,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
4441-NIHPT,Female,0,1,1,38,1,1,19.95,756.4,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
7242-EDTYC,Female,0,1,1,30,1,0,19.7,599.25,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
0742-NXBGR,Female,1,0,0,30,1,1,104.1,3121.1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
3996-ZNWYK,Female,0,1,0,56,1,1,85.6,4902.8,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
2446-PLQVO,Male,0,0,0,63,1,0,104.5,6590.8,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
0927-CNGRH,Male,0,0,0,52,1,0,21.0,1107.2,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
2386-LAHRK,Male,0,1,1,43,1,1,19.2,776.25,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
3078-ZKNTS,Female,0,0,0,1,1,0,85.8,85.8,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
1875-QIVME,Male,0,1,1,70,1,1,90.15,6237.05,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
6693-DJWTY,Female,0,1,0,1,0,1,29.85,29.85,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
8865-TNMNX,Male,0,1,1,70,1,0,25.4,1782.05,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
7459-RRWQZ,Male,0,1,0,69,0,0,60.25,4055.5,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
2883-ILGWO,Female,0,0,0,1,1,0,90.55,90.55,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
3563-SVYLG,Male,0,1,1,70,1,1,79.25,5731.85,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
4002-BQWPQ,Female,0,0,0,48,1,0,55.5,2627.35,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
9522-ZSINC,Female,0,0,0,12,1,0,19.45,227.45,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1591-NFNLQ,Female,0,1,1,11,0,1,29.6,346.45,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
9845-PEEKO,Female,1,1,0,34,1,1,94.25,3217.55,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
9548-LIGTA,Male,0,0,0,1,0,1,24.25,24.25,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
9309-BZGNT,Female,0,1,1,22,1,1,80.15,1790.65,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
8979-CAMGB,Female,0,1,0,59,1,0,20.35,1267,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
9639-BUJXT,Male,0,1,0,63,1,1,19.95,1234.8,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
7943-RQCHR,Female,0,0,0,39,1,0,20.7,762.45,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
6131-FOYAS,Male,0,0,0,7,1,1,86.8,620.35,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2908-ZTPNF,Male,1,1,0,10,1,0,85.55,851.75,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
7009-LGECI,Male,0,0,0,54,0,0,46.2,2431.95,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
2530-ENDWQ,Female,0,1,1,55,1,1,69.05,3842.6,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
0422-UXFAP,Male,0,1,1,55,1,1,90.4,5099.15,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
5774-XZTQC,Male,1,0,0,9,1,1,85.05,746.5,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
8212-CRQXP,Female,0,0,0,15,1,0,58.95,955.15,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
5438-QMDDL,Male,0,1,1,38,1,0,78.95,2862.55,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
7764-BDPEE,Female,0,0,0,8,1,1,65.5,573.15,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
6439-LAJXL,Male,0,0,0,45,1,0,112.2,5031.85,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
2249-YPRNG,Female,0,0,0,2,1,0,60.85,111.4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
0230-WEQUW,Female,1,1,1,34,1,1,79.6,2718.3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
4395-PZMSN,Female,0,1,1,30,1,0,66.3,1923.5,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1167-OYZJF,Female,0,0,0,1,1,1,49.95,49.95,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
4680-KUTAJ,Male,1,0,0,12,1,1,99.45,1200.15,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
5934-RMPOV,Female,0,0,1,13,1,0,88.95,1161.75,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
1459-QNFQT,Female,0,0,0,70,1,0,19.7,1341.5,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
6923-AQONU,Male,0,0,0,1,1,1,53.5,53.5,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0239-OXEXL,Male,0,0,0,68,1,0,79.6,5461.45,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
6817-WTYHE,Female,0,1,0,14,1,0,105.95,1348.9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
8152-UOBNY,Female,0,0,1,50,1,0,20.15,970.85,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
0931-MHTEM,Female,0,0,0,13,1,1,100.35,1358.85,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
4213-HKBJO,Male,0,1,0,71,1,1,105.7,7472.15,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
3308-MHOOC,Male,1,1,1,72,1,1,114.95,8196.4,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
0282-NVSJS,Male,0,1,0,3,1,0,20.0,49.65,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
4518-FZBSX,Female,0,0,0,1,0,0,25.25,25.25,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
4194-FJARJ,Male,0,1,0,17,1,1,70.4,1214.05,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
4692-NNQRU,Female,1,0,0,2,1,0,43.95,85.1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4719-UMSIY,Male,1,1,0,51,1,1,93.65,4839.15,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
4378-MYPGO,Female,0,1,0,11,1,1,96.2,1222.05,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
0363-SVHYR,Female,0,1,1,55,1,1,85.1,4600.95,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
8039-ACLPL,Female,1,1,1,61,1,1,65.2,3965.05,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
2748-MYRVK,Male,0,1,0,4,1,1,80.6,319.15,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
0842-IWYCP,Male,0,0,1,53,1,0,62.85,3419.5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
4580-TMHJU,Male,0,0,0,32,1,0,91.05,2871.5,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
3806-YAZOV,Male,0,1,1,62,1,0,20.65,1218.45,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
4817-QRJSX,Female,1,1,0,46,1,0,100.25,4753.85,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
3338-CVVEH,Male,1,0,0,9,1,1,74.05,678.45,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4030-VPZBD,Female,0,1,1,68,1,1,85.0,5607.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
3043-SUDUA,Female,0,0,0,1,1,0,20.95,20.95,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
6969-MVBAI,Female,0,0,0,18,1,1,95.05,1679.4,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0
0337-CNPZE,Female,0,1,0,11,1,1,44.05,483.7,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2649-HWLYB,Male,0,0,0,31,1,1,94.5,2979.2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
3511-BFTJW,Female,0,0,1,41,1,1,88.5,3645.05,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
8608-OZTLB,Male,0,1,0,72,1,0,20.7,1492.1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
1848-LBZHY,Male,0,0,0,1,1,1,44.95,44.95,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1724-IQWNM,Female,0,1,1,1,1,0,50.45,50.45,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
2604-IJPDU,Female,1,1,0,70,1,1,113.0,7987.6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
5802-ADBRC,Female,0,1,1,14,1,0,19.55,294.5,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0603-OLQDC,Male,0,1,1,72,1,1,90.8,6511.8,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
0887-WBJVH,Male,0,1,1,72,1,1,89.7,6588.95,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
6754-LZUKA,Female,0,0,0,52,1,1,59.45,3043.7,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
9298-WGMRW,Female,0,1,1,67,1,1,94.35,6341.45,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
3487-EARAT,Female,0,0,0,5,1,0,75.6,402.5,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
5857-TYBCJ,Male,0,0,0,35,1,1,20.2,684.4,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6275-YDUVO,Female,0,0,1,3,1,1,20.55,57.4,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
7854-EKTJL,Female,0,0,0,44,1,1,88.15,3973.2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
5206-XZZQI,Male,0,0,0,57,1,1,54.65,3134.7,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
6543-CPZMK,Female,0,0,0,22,1,0,89.25,1907.85,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
8622-ZLFKO,Male,0,1,1,72,1,0,103.95,7517.7,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
4616-EWBNJ,Female,1,1,1,68,0,1,53.0,3656.25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
3612-YUNGG,Male,0,1,1,44,1,1,20.5,865.05,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1400-MMYXY,Male,0,0,0,17,1,1,19.65,351.55,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0112-QAWRZ,Male,1,0,0,23,1,1,106.4,2483.5,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
9606-PBKBQ,Female,0,1,1,49,1,0,61.75,3024.15,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
7876-DNYAP,Male,0,1,1,43,0,0,29.3,1224.05,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
6349-JDHQP,Female,0,1,0,5,1,0,69.95,330.15,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1409-PHXTF,Male,0,0,0,4,1,1,74.4,299.7,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
3161-GETRM,Male,0,1,1,54,1,1,24.05,1230.9,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
4979-HPRFL,Female,0,1,1,43,1,0,75.2,3254.35,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
0111-KLBQG,Male,0,0,1,39,1,0,25.45,958.45,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
8173-RXAYP,Male,0,0,0,33,0,1,39.1,1309,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2479-BRAMR,Female,0,0,0,42,1,0,59.65,2536.55,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
7328-OWMOM,Male,0,1,0,21,1,1,106.1,2249.95,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
3255-GRXMG,Female,0,0,0,18,1,0,20.1,407.05,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
9798-OPFEM,Male,0,1,0,71,1,1,80.1,5585.4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
5837-LXSDN,Male,0,0,1,66,1,0,65.7,4378.9,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
4712-UYOOI,Female,0,0,0,50,1,1,95.7,4729.75,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
4088-YLDSU,Male,0,0,0,41,0,1,51.35,2075.1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
5397-NSKQG,Male,0,0,0,1,1,1,44.05,44.05,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
9705-ZJBCG,Male,1,1,0,69,1,1,108.4,7318.2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
8709-KRDVL,Male,0,1,1,17,1,1,70.35,1201.65,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
2037-XJFUP,Female,0,0,0,24,0,1,54.15,1240.25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
5575-GNVDE,Male,0,1,1,8,1,0,19.9,153.95,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4819-HJPIW,Male,0,0,0,29,1,1,84.9,2516.2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0410-IPFTY,Male,0,0,0,35,1,1,102.35,3626.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
3739-YBWAB,Male,0,0,0,20,1,1,88.7,1761.45,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
5975-BAICR,Male,0,0,0,10,1,0,20.0,185.4,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
9919-KNPOO,Female,0,1,1,66,1,1,102.45,6615.15,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
3976-BWUCK,Female,0,1,1,48,0,0,39.4,1978.65,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
2164-SOQXL,Female,0,1,1,5,1,0,69.95,320.4,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
7774-OJSXI,Female,0,0,0,7,1,0,62.8,418.3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0
1455-UGQVH,Male,0,0,0,2,1,0,53.45,119.5,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
4855-SNKMY,Male,1,1,0,41,1,1,94.55,3851.45,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
8975-SKGRX,Male,0,1,1,71,1,0,86.85,6263.8,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
5003-XZWWO,Male,0,0,0,13,1,1,91.1,1135.7,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2984-TBYKU,Male,0,1,1,72,0,0,48.9,3527,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
0468-YRPXN,Male,0,0,0,36,1,1,20.35,695.85,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2959-EEXWB,Male,0,0,0,22,0,0,56.75,1304.85,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
6894-LFHLY,Female,1,1,0,48,1,1,58.95,2789.7,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
